CVE-ID,repoName,result
CVE-2020-22021,Telegram-iOS,TP
CVE-2012-2799,Telegram-iOS,FP
CVE-2021-46822,Telegram-iOS,TP
CVE-2022-47021,Telegram-iOS,TP
CVE-2020-14976,tess-two,FP
CVE-2020-10188,freebsd-src,TP
CVE-2020-24371,freebsd-src,FP
CVE-2020-24370,freebsd-src,TP
CVE-2020-15945,freebsd-src,FP
CVE-2014-0064,freebsd-src,FP
CVE-2018-12207,freebsd-src,FP
CVE-2016-7940,freebsd-src,FP
CVE-2016-7992,freebsd-src,FP
CVE-2019-1549,freebsd-src,FP
CVE-2018-17160,freebsd-src,FP
CVE-2014-8613,freebsd-src,FP
CVE-2012-0884,freebsd-src,FP
CVE-2022-29859,freebsd-src,FP
CVE-2022-42898,freebsd-src,FP
CVE-2009-3245,source,FP
CVE-2021-32020,flipperzero-firmware,TP
CVE-2014-0064,zephyr,FP
CVE-2014-0064,open-gpu-kernel-modules,FP
CVE-2021-22890,RetroArch,FP
CVE-2020-24371,RetroArch,FP
CVE-2020-24370,RetroArch,TP
CVE-2020-15945,RetroArch,FP
CVE-2014-0064,PolarDB-for-PostgreSQL,FP
CVE-2013-1901,PolarDB-for-PostgreSQL,FP
CVE-2014-0061,PolarDB-for-PostgreSQL,FP
CVE-2007-0556,PolarDB-for-PostgreSQL,FP
CVE-2007-6600,PolarDB-for-PostgreSQL,FP
CVE-2022-2625,PolarDB-for-PostgreSQL,TP
CVE-2020-25695,PolarDB-for-PostgreSQL,FP
CVE-2019-7578,simplest_ffmpeg_mobile,TP
CVE-2021-33657,simplest_ffmpeg_mobile,TP
CVE-2019-7578,mobile-ffmpeg,TP
CVE-2020-14976,mobile-ffmpeg,FP
CVE-2021-46822,mobile-ffmpeg,TP
CVE-2021-33657,mobile-ffmpeg,TP
CVE-2022-23308,mobile-ffmpeg,TP
CVE-2023-35853,mobile-ffmpeg,FP
CVE-2021-46822,reactos,TP
CVE-2019-11833,reactos,TP
CVE-2022-29859,reactos,FP
CVE-2016-8625,curl,FP
CVE-2022-32205,curl,FP
CVE-2022-29859,open62541,FP
CVE-2014-3616,nginx-releases,TP
CVE-2020-24371,ossec-hids,FP
CVE-2020-24370,ossec-hids,TP
CVE-2020-15945,ossec-hids,FP
CVE-2023-28487,SUDO_KILLER,FP
CVE-2014-0064,PureDarwin,FP
CVE-2020-10188,src,TP
CVE-2014-0064,src,FP
CVE-2016-7939,src,TP
CVE-2022-29859,src,FP
CVE-2020-24371,wcc,FP
CVE-2020-24370,wcc,TP
CVE-2020-15945,wcc,FP
CVE-2021-21309,webdis,TP
CVE-2020-8231,premake-core,TP
CVE-2017-7468,premake-core,TP
CVE-2016-8625,premake-core,FP
CVE-2022-32205,premake-core,TP
CVE-2020-24371,premake-core,FP
CVE-2020-24370,premake-core,TP
CVE-2020-15945,premake-core,FP
CVE-2020-11609,linux,FP
CVE-2021-38204,linux,FP
CVE-2021-3609,linux,FP
CVE-2020-27673,linux,FP
CVE-2020-27820,linux,FP
CVE-2018-10853,linux,FP
CVE-2014-0064,linux,FP
CVE-2006-4145,linux,FP
CVE-2020-12888,linux,FP
CVE-2023-2006,linux,FP
CVE-2022-3586,linux,FP
CVE-2023-2019,linux,FP
CVE-2022-29859,linux,FP
CVE-2023-3439,linux,TP
CVE-2022-28796,linux,FP
CVE-2022-1974,linux,TP
CVE-2023-26545,linux,TP
CVE-2020-24371,xLua,FP
CVE-2020-24370,xLua,TP
CVE-2020-15945,xLua,FP
CVE-2017-12894,AdAway,TP
CVE-2017-12897,AdAway,TP
CVE-2017-12898,AdAway,TP
CVE-2017-12993,AdAway,TP
CVE-2017-13010,AdAway,TP
CVE-2017-13013,AdAway,TP
CVE-2017-13022,AdAway,TP
CVE-2017-13030,AdAway,TP
CVE-2017-13037,AdAway,TP
CVE-2017-13040,AdAway,TP
CVE-2016-7923,AdAway,TP
CVE-2016-7934,AdAway,TP
CVE-2016-7939,AdAway,TP
CVE-2016-7940,AdAway,TP
CVE-2016-7983,AdAway,TP
CVE-2017-5484,AdAway,TP
CVE-2017-11108,AdAway,TP
CVE-2023-1801,AdAway,TP
CVE-2014-0064,pipelinedb,FP
CVE-2020-24371,BizHawk,FP
CVE-2020-15945,BizHawk,FP
CVE-2013-5704,httpd,FP
CVE-2020-22021,yjPlay,TP
CVE-2012-2799,yjPlay,FP
CVE-2021-21309,disque,TP
CVE-2021-32020,micropython,TP
CVE-2021-32020,Arduino_STM32,TP
CVE-2014-0064,fontforge,FP
CVE-2014-6272,proxydroid,TP
CVE-2021-32020,amazon-freertos,TP
CVE-2021-21309,f-stack,TP
CVE-2020-24370,f-stack,TP
CVE-2020-15945,f-stack,FP
CVE-2014-0064,f-stack,FP
CVE-2018-12207,f-stack,FP
CVE-2020-25705,f-stack,TP
CVE-2020-24718,f-stack,FP
CVE-2022-35977,f-stack,TP
CVE-2022-29859,f-stack,FP
CVE-2023-25155,f-stack,TP
CVE-2020-1916,bcrypt-ruby,FP
CVE-2023-35853,suricata,FP
CVE-2020-11609,WSL2-Linux-Kernel,FP
CVE-2021-38204,WSL2-Linux-Kernel,FP
CVE-2021-3609,WSL2-Linux-Kernel,FP
CVE-2020-27673,WSL2-Linux-Kernel,FP
CVE-2020-27820,WSL2-Linux-Kernel,FP
CVE-2018-10853,WSL2-Linux-Kernel,FP
CVE-2014-0064,WSL2-Linux-Kernel,FP
CVE-2006-4145,WSL2-Linux-Kernel,FP
CVE-2020-12888,WSL2-Linux-Kernel,FP
CVE-2022-3586,WSL2-Linux-Kernel,FP
CVE-2023-2019,WSL2-Linux-Kernel,FP
CVE-2022-29859,WSL2-Linux-Kernel,FP
CVE-2023-3439,WSL2-Linux-Kernel,TP
CVE-2022-28796,WSL2-Linux-Kernel,FP
CVE-2022-1974,WSL2-Linux-Kernel,FP
CVE-2023-26545,WSL2-Linux-Kernel,FP
CVE-2021-21309,h2o,TP
CVE-2021-21309,RediSearch,TP
CVE-2020-24371,emscripten,FP
CVE-2020-24370,emscripten,TP
CVE-2020-15945,emscripten,FP
CVE-2021-44109,CloverBootloader,FP
CVE-2019-1563,CloverBootloader,TP
CVE-2015-3194,CloverBootloader,TP
CVE-2015-3195,CloverBootloader,TP
CVE-2016-0799,CloverBootloader,TP
CVE-2014-3508,CloverBootloader,TP
CVE-2012-0884,CloverBootloader,FP
CVE-2018-0739,CloverBootloader,TP
CVE-2014-8275,CloverBootloader,TP
CVE-2016-2107,CloverBootloader,TP
CVE-2023-28487,sudo-touchid,TP
CVE-2009-3245,immortalwrt,FP
CVE-2021-32020,mongoose,TP
CVE-2022-47021,Tasmota,TP
CVE-2022-44789,sumatrapdf,TP
CVE-2014-0064,wine,FP
CVE-2022-29859,wine,FP
CVE-2016-4952,xemu,FP
CVE-2014-0064,xemu,FP
CVE-2022-29859,xemu,FP
CVE-2021-32687,annotated_redis_source,TP
CVE-2020-14147,annotated_redis_source,TP
CVE-2021-32628,annotated_redis_source,TP
CVE-2022-35977,annotated_redis_source,TP
CVE-2020-14147,wireshark,TP
CVE-2022-29859,wireshark,FP
CVE-2022-0521,wireshark,FP
CVE-2020-14147,civetweb,TP
CVE-2020-24371,civetweb,FP
CVE-2020-24370,civetweb,TP
CVE-2020-15945,civetweb,FP
CVE-2020-24371,zfs,FP
CVE-2020-24370,zfs,TP
CVE-2020-15945,zfs,FP
CVE-2021-32613,radare2,FP
CVE-2021-43814,radare2,TP
CVE-2022-0521,radare2,FP
CVE-2022-0695,radare2,FP
CVE-2023-27590,radare2,TP
CVE-2019-14745,radare2,FP
CVE-2021-45958,catboost,TP
CVE-2020-24371,catboost,FP
CVE-2020-24370,catboost,TP
CVE-2020-15945,catboost,FP
CVE-2022-4202,gpac,FP
CVE-2020-24371,write-ups-2016,FP
CVE-2020-24370,write-ups-2016,TP
CVE-2020-15945,write-ups-2016,FP
CVE-2016-8625,CMake,FP
CVE-2023-35853,CMake,FP
CVE-2021-21309,sds,FP
CVE-2018-16872,panda,TP
CVE-2021-3930,panda,TP
CVE-2017-9503,panda,TP
CVE-2016-4952,panda,FP
CVE-2021-3392,panda,TP
CVE-2021-21309,redis,FP
CVE-2016-4952,qemu-t8030,FP
CVE-2014-0064,qemu-t8030,FP
CVE-2022-29859,qemu-t8030,FP
CVE-2021-46822,Tiny,TP
CVE-2021-32687,redis-3.0-annotated,TP
CVE-2020-14147,redis-3.0-annotated,TP
CVE-2021-32628,redis-3.0-annotated,TP
CVE-2022-35977,redis-3.0-annotated,TP
CVE-2014-0064,yugabyte-db,FP
CVE-2013-1901,yugabyte-db,FP
CVE-2014-0061,yugabyte-db,FP
CVE-2007-0556,yugabyte-db,FP
CVE-2007-6600,yugabyte-db,FP
CVE-2013-5704,uwsgi,FP
CVE-2020-13112,pyrebox,TP
CVE-2021-3930,pyrebox,TP
CVE-2016-4952,pyrebox,FP
CVE-2021-3392,pyrebox,TP
CVE-2020-11724,tengine,TP
CVE-2021-32686,tengine,FP
CVE-2021-32686,nginx,FP
CVE-2015-8543,LVS,TP
CVE-2015-1805,LVS,TP
CVE-2020-12652,LVS,TP
CVE-2020-25669,LVS,TP
CVE-2020-11609,LVS,FP
CVE-2020-28097,LVS,TP
CVE-2020-27673,LVS,FP
CVE-2015-1350,LVS,TP
CVE-2015-7799,LVS,TP
CVE-2013-2851,LVS,TP
CVE-2019-11833,LVS,TP
CVE-2018-1000004,LVS,TP
CVE-2013-4299,LVS,TP
CVE-2018-1093,LVS,TP
CVE-2014-0064,LVS,FP
CVE-2018-10876,LVS,TP
CVE-2018-10882,LVS,TP
CVE-2012-1179,LVS,TP
CVE-2015-5157,LVS,TP
CVE-2014-0077,LVS,TP
CVE-2012-4398,LVS,TP
CVE-2006-4145,LVS,FP
CVE-2016-3137,LVS,TP
CVE-2023-2006,LVS,FP
CVE-2023-2019,LVS,FP
CVE-2022-3424,LVS,TP
CVE-2022-29859,LVS,FP
CVE-2022-2318,LVS,TP
CVE-2023-2513,LVS,TP
CVE-2023-3022,LVS,TP
CVE-2022-28796,LVS,FP
CVE-2022-29859,esp-homekit-devices,FP
CVE-2022-3297,vim.js,FP
CVE-2021-32613,rizin,FP
CVE-2022-0676,rizin,TP
CVE-2022-0521,rizin,FP
CVE-2022-0695,rizin,TP
CVE-2022-1809,rizin,TP
CVE-2023-0302,rizin,TP
CVE-2022-0523,rizin,TP
CVE-2020-24371,nmap,FP
CVE-2020-15945,nmap,FP
CVE-2021-21309,nchan,TP
CVE-2020-14147,nodemcu-firmware,TP
CVE-2020-24371,nodemcu-firmware,FP
CVE-2020-15945,nodemcu-firmware,FP
CVE-2014-0064,timescaledb,FP
CVE-2016-3065,timescaledb,FP
CVE-2020-11724,reading-code-of-nginx-1.9.2,TP
CVE-2014-3616,reading-code-of-nginx-1.9.2,TP
CVE-2020-24371,proxmark3,FP
CVE-2020-24370,proxmark3,TP
CVE-2020-15945,proxmark3,FP
CVE-2021-32020,ElectronBot,TP
CVE-2022-3297,macvim,FP
CVE-2021-22890,minix,FP
CVE-2020-10188,minix,TP
CVE-2020-24371,minix,FP
CVE-2020-24370,minix,TP
CVE-2020-15945,minix,FP
CVE-2015-7236,minix,TP
CVE-2017-12894,minix,TP
CVE-2017-12897,minix,TP
CVE-2017-12898,minix,TP
CVE-2017-12993,minix,TP
CVE-2017-13010,minix,TP
CVE-2017-13013,minix,TP
CVE-2017-13022,minix,TP
CVE-2017-13030,minix,TP
CVE-2017-13037,minix,TP
CVE-2017-13040,minix,TP
CVE-2016-7923,minix,TP
CVE-2016-7934,minix,TP
CVE-2016-7939,minix,TP
CVE-2016-7940,minix,TP
CVE-2016-7983,minix,TP
CVE-2017-5484,minix,TP
CVE-2019-1563,minix,TP
CVE-2015-3194,minix,TP
CVE-2015-3195,minix,TP
CVE-2016-0799,minix,TP
CVE-2016-0797,minix,TP
CVE-2011-3210,minix,FP
CVE-2017-11108,minix,TP
CVE-2012-0884,minix,FP
CVE-2018-0739,minix,TP
CVE-2016-2107,minix,TP
CVE-2023-1801,minix,TP
CVE-2022-42898,minix,FP
CVE-2020-11086,FreeRDP,FP
CVE-2022-47021,sdlpal,TP
CVE-2020-8231,kbengine,TP
CVE-2016-8625,kbengine,FP
CVE-2022-32205,kbengine,TP
CVE-2020-1916,kbengine,FP
CVE-2019-1563,kbengine,TP
CVE-2016-0799,kbengine,TP
CVE-2016-0797,kbengine,TP
CVE-2021-22897,kbengine,TP
CVE-2011-3210,kbengine,FP
CVE-2012-0884,kbengine,FP
CVE-2018-0739,kbengine,TP
CVE-2016-2107,kbengine,TP
CVE-2009-3245,lede,FP
CVE-2021-32020,EasyLogger,TP
CVE-2021-32020,Dummy-Robot,TP
CVE-2014-0064,gpdb,FP
CVE-2013-1901,gpdb,FP
CVE-2014-0061,gpdb,FP
CVE-2016-3065,gpdb,FP
CVE-2007-6600,gpdb,FP
CVE-2020-1916,TencentOS-tiny,FP
CVE-2015-8543,fastsocket,TP
CVE-2015-1805,fastsocket,TP
CVE-2020-12652,fastsocket,TP
CVE-2020-25669,fastsocket,TP
CVE-2020-11609,fastsocket,TP
CVE-2020-28097,fastsocket,TP
CVE-2020-27673,fastsocket,FP
CVE-2015-1350,fastsocket,TP
CVE-2015-8104,fastsocket,TP
CVE-2015-7799,fastsocket,TP
CVE-2020-27820,fastsocket,FP
CVE-2019-11833,fastsocket,TP
CVE-2018-1000004,fastsocket,TP
CVE-2018-1093,fastsocket,TP
CVE-2014-0064,fastsocket,FP
CVE-2018-10876,fastsocket,TP
CVE-2018-10882,fastsocket,TP
CVE-2015-5157,fastsocket,TP
CVE-2012-4398,fastsocket,TP
CVE-2006-4145,fastsocket,FP
CVE-2016-3137,fastsocket,TP
CVE-2023-2006,fastsocket,FP
CVE-2023-2019,fastsocket,FP
CVE-2022-3424,fastsocket,TP
CVE-2022-29859,fastsocket,FP
CVE-2022-2318,fastsocket,TP
CVE-2023-2513,fastsocket,TP
CVE-2023-3022,fastsocket,TP
CVE-2022-28796,fastsocket,FP
CVE-2020-24370,MLN,TP
CVE-2020-15945,MLN,FP
CVE-2021-21309,magma,TP
CVE-2021-29605,Espruino,TP
CVE-2022-29859,Espruino,FP
CVE-2014-0064,darwin-xnu,FP
CVE-2018-15687,systemd,FP
CVE-2018-16864,systemd,FP
CVE-2020-1916,php-src,FP
CVE-2014-0064,php-src,FP
CVE-2020-8231,AliOS-Things,TP
CVE-2020-8177,AliOS-Things,TP
CVE-2016-8625,AliOS-Things,FP
CVE-2022-32205,AliOS-Things,TP
CVE-2022-22576,AliOS-Things,TP
CVE-2021-22890,AliOS-Things,TP
CVE-2021-33657,AliOS-Things,TP
CVE-2021-22897,AliOS-Things,TP
CVE-2022-29859,AliOS-Things,FP
CVE-2021-46822,AndroidUSBCamera,TP
CVE-2018-17160,hyperkit,TP
CVE-2019-7578,dosbox-x,TP
CVE-2021-33657,dosbox-x,TP
CVE-2022-47021,dosbox-x,TP
CVE-2021-21309,wrk,FP
CVE-2020-24371,ejoy2d,FP
CVE-2020-24370,ejoy2d,TP
CVE-2020-15945,ejoy2d,FP
CVE-2021-32020,IronOS,TP
CVE-2020-24371,mjolnir,FP
CVE-2020-24370,mjolnir,TP
CVE-2020-15945,mjolnir,FP
CVE-2012-2799,FFmpeg,FP
CVE-2019-7578,awtk,TP
CVE-2021-33657,awtk,TP
CVE-2021-21309,RedisGraph,TP
